No.,Title,Brand/ Manufacturer,Date,UPC codes,model.id,Summary,Repair Number,,Unnamed: 5,brand_names,retail_names,manufacturer,Title
39,Sassy Baby Recalls Manhattan Toy Brilliant Bee Rattles Due to Choking Hazard,Sassy,7/18/2024,,166700 CQ,"This recall involves the Manhattan Toy Brilliant Bee Rattle. The toy has a plastic light-up bee attached to a wooden rod and wooden base. There are three plastic rings on the rod and a baby-safe mirror on the bottom of the base. The bee rattle has non-removable batteries, and the model number ""166700 CQ"" is printed on the base. The toy measures about seven inches tall and four inches wide.",24308,,https://www.cpsc.gov/Recalls/2024/Sassy-Baby-Recalls-Manhattan-Toy-Brilliant-Bee-Rattles-Due-to-Choking-Hazard,Sassy, ,Manhattan Toy,Sassy Baby Recalls Manhattan Toy Brilliant Bee Rattles Due to Choking Hazard
40,BISSELL Recalls More Than 3 Million Steam Shot Handheld Steam Cleaners Due to Burn Hazard,BISSELL,7/18/2024,,"39N7, 2994","This recall involves multiple models of the BISSELL Steam Shot Handheld Steam Cleaners in the model series 39N7 and 2994. ""STEAM SHOT"" or ""POWER STEAMER"" is printed on the side of the product. The model numbers are printed on the product rating label located on the bottom of the unit. Colors include green, pink, blue, orange, white, black, purple and red.",24309,,https://www.cpsc.gov/Recalls/2024/BISSELL-Recalls-More-Than-3-Million-Steam-Shot-Handheld-Steam-Cleaners-Due-to-Burn-Hazard,BISSELL, ,,BISSELL Recalls More Than 3 Million Steam Shot Handheld Steam Cleaners Due to Burn Hazard
43,Atomi Recalls Smart Heaters Due to Fire and Burn Hazards,Atomi,7/11/2024,,"AT1323, AT1481, AT1520, AT1632, AT1482, AT1521, AT1635","This recall involves Atomi Smart Heaters, tower models AT1323, AT1481, AT1520 and AT1632; tabletop models AT1482 and AT1521; and wall heater model AT1635. These portable electric heaters were sold in black, silver or white color, depending on the model. The tower heater models measure about 26-28 inches tall and 8-11 inches wide. The tabletop heater models measure about 18 inches tall and eight inches wide. The wall heater models measure about 17 inches tall and 23 inches wide. The model number can be found on a product identification sticker on the bottom of the unit. Product Name Model Number Atomi Smart Tower Heater AT1323 Atomi Smart Tower Heater AT1481 Atomi Smart Tower Heater AT1520 Atomi Smart Tabletop Heater AT1482 Atomi Smart Tabletop Heater AT1521 Atomi Smart Tower Heater AT1632 Atomi Smart Wall Heater AT1635",24298,,https://www.cpsc.gov/Recalls/2024/Atomi-Recalls-Smart-Heaters-Due-to-Fire-and-Burn-Hazards, , ,,Atomi Recalls Smart Heaters Due to Fire and Burn Hazards
47,Best Lighting Products Recalls High Bay LED Light Fixtures Due to Fire Hazard,Best Lighting Products,7/11/2024,,"LEDFHB90, LEDFHB105, LEDFHB135, LEDFHB178, LEDFHB180, LEDFHB215, LEDFHB265, LEDFHB320, LEDFHB425","This recall involves Best Lighting Products LEDFHB line of high bay light fixtures in 90, 105, 135, 178, 180, 215, 265, 320 and 425 watts. These lights were sold in white, and are typically used in commercial settings, such as warehouses and facilities with high ceilings. The following model numbers are included in this recall: LEDFHB90, LEDFHB105, LEDFHB135, LEDFHB178, LEDFHB180, LEDFHB215, LEDFHB265, LEDFHB320 and LEDFHB425. The model name and number can be found on a label on the back of the recalled fixtures.",24302,,https://www.cpsc.gov/Recalls/2024/Best-Lighting-Products-Recalls-High-Bay-LED-Light-Fixtures-Due-to-Fire-Hazard,Best, ,,Best Lighting Products Recalls High Bay LED Light Fixtures Due to Fire Hazard
48,TonGass Pool Drain Covers Recalled Due to Violation of the Virginia Graeme Baker Pool and Spa Safety Act and Entrapment Hazard; Sold Exclusively on Amazon.com by TonGass,TonGass,7/11/2024,,WGX1048E,This recall involves TonGass 8-inch round pool drain covers (Model WGX1048E and ASIN B0CBK7HQQ) sold for use in swimming pools. The drains have two screws and are white and made of plastic. The drain covers measure 7-7/8 inches in diameter.,24303,,https://www.cpsc.gov/Recalls/2024/TonGass-Pool-Drain-Covers-Recalled-Due-to-Violation-of-the-Virginia-Graeme-Baker-Pool-and-Spa-Safety-Act-and-Entrapment-Hazard-Sold-Exclusively-on-Amazon-com-by-TonGass, , ,,TonGass Pool Drain Covers Recalled Due to Violation of the Virginia Graeme Baker Pool and Spa Safety Act and Entrapment Hazard; Sold Exclusively on Amazon.com by TonGass
50,American Honda Motor Recalls Off-Road Motorcycles Due to Crash and Injury Hazards,American,7/3/2024,,"CRF50F, CRF110F, CRF125F","This recall involves model year 2023-2024 Honda off-road motorcycles with model numbers CRF50F, CRF110F, and CRF125F. The CRF50F and CRF110F models were sold in red or white colors. The CRF125F was sold in red color. All three models have ""HONDA"" printed on the seats, and the model number printed on the motorcycle frame, above the engine. The vehicle identification number (VIN) can be found on the left side of the steering head on all models. Consumers can check if their VIN is included in the recall at Honda Powersports & Motorcycle Recalls.",24288,,https://www.cpsc.gov/Recalls/2024/American-Honda-Motor-Recalls-Off-Road-Motorcycles-Due-to-Crash-and-Injury-Hazards,American,American,,American Honda Motor Recalls Off-Road Motorcycles Due to Crash and Injury Hazards
52,Hatch Baby Recalls Power Adapters Sold with Rest 1st Generation Sound Machines Due to Shock Hazard,Hatch,7/3/2024,,CYAP05 050100U,"This recall involves AC power adapters sold with some units of the Rest 1st Generation Sound Machine. The power adapters have model number CYAP05 050100U. The adapters have a white rectangular plastic housing that plugs directly into the wall socket. The model number, amps (""1.0A""), ""Jiangsu Chenyang Electron Co. LTD"", and ""Made in China"" are printed in black near the prongs on the power adapter. The power adapter was not sold separately.",24291,,https://www.cpsc.gov/Recalls/2024/Hatch-Baby-Recalls-Power-Adapters-Sold-with-Rest-1st-Generation-Sound-Machines-Due-to-Shock-Hazard,Hatch, ,,Hatch Baby Recalls Power Adapters Sold with Rest 1st Generation Sound Machines Due to Shock Hazard
53,REI Recalls Co-op Cycles REV Children's Bicycles with Training Wheels Due to Fall and Injury Hazards,REI,6/27/2024,,,"This recall involves REI Co-op Cycles REV 12-, 16-, or 20-inch kid's bicycles (all model years 2022-2024). Serial numbers included in the recall begin with ""ET22,"" ""ET23,"" ""01VX"" or ""07VX."" The serial number is printed underneath the bike frame on the bottom bracket or down tube. Brand Model SKU/Article # Color Co-op Cycles REV 12 Kids Bike 190741 BONDI (green) Co-op Cycles REV 12 Kids Bike 190741 PENCIL (yellow) Co-op Cycles REV 16 Kids Bike 190742 SURFS UP (blue) Co-op Cycles REV 16 Kids Bike 190742 CATCH UP (red) Co-op Cycles REV 16 Kids Bike 190743 FOUR LEAF (green) Co-op Cycles REV 20 Kids Bike 190743 PLUM BURST (purple)",24283,,https://www.cpsc.gov/Recalls/2024/REI-Recalls-Co-op-Cycles-REV-Childrens-Bicycles-with-Training-Wheels-Due-to-Fall-and-Injury-Hazards, ,REI,,REI Recalls Co-op Cycles REV Children's Bicycles with Training Wheels Due to Fall and Injury Hazards
55,Southern Telecom Recalls Brookstone TurboVac Handheld Rechargeable Vacuums Due to Fire Hazard; Sold Exclusively at Belk,Southern,6/27/2024,,BSBVAC301,"This recall involves Brookstone TurboVac Handheld Rechargeable Vacuums (Model No. BSBVAC301). The model number is printed on the back of the unit. ""Brookstone"" is printed on the top front of the vacuum. The vacuums are black and come with a wall-plate for hanging on the wall, and they measure 2.89 x 12 inches in dimension.",24285,,https://www.cpsc.gov/Recalls/2024/Southern-Telecom-Recalls-Brookstone-TurboVac-Handheld-Rechargeable-Vacuums-Due-to-Fire-Hazard-Sold-Exclusively-at-Belk, , ,,Southern Telecom Recalls Brookstone TurboVac Handheld Rechargeable Vacuums Due to Fire Hazard; Sold Exclusively at Belk
56,"Daikin Comfort Technologies Manufacturing Recalls Daikin FIT, Amana Brand S-series, and Goodman SD Heat Pumps Due to Risk of Excessive Heat Exposure",Daikin,6/27/2024,,"DZ6VSA1810-AA, ASZS601810-AA, GSZS601810-AB, DZ6VSA1810-AB, ASZS601810-AB, GSZS602410-AB, DZ6VSA2410-AA, ASZS602410-AA, GSZS603010-AB, DZ6VSA2410-AB","This recall involves Daikin FIT, Amana Brand S-series, and Goodman SD heat pumps that provide heating and cooling. The recalled units are beige and the model name is printed on the outside of the unit. The model number is located on the serial plate on the side of the unit. The following model numbers are included in this recall: Recalled Daikin FIT Recalled Amana S-Series Recalled Goodman SD DZ6VSA1810-AA ASZS601810-AA GSZS601810-AB DZ6VSA1810-AB ASZS601810-AB GSZS602410-AB DZ6VSA2410-AA ASZS602410-AA GSZS603010-AB DZ6VSA2410-AB ASZS602410-AB GSZS603610-AB DZ6VSA241E-AB ASZS60241E-AB DZ6VSA3010-AA ASZS603010-AA DZ6VSA3010-AB ASZS603010-AB DZ6VSA3610-AA ASZS603610-AA DZ6VSA3610-AB ASZS603610-AB",24286,,https://www.cpsc.gov/Recalls/2024/Daikin-Comfort-Technologies-Manufacturing-Recalls-Daikin-FIT-mana-Brand-S-series-and-Goodman-SD-Heat-Pumps-Due-to-Risk-of-Excessive-Heat-Exposure,Daikin, ,,"Daikin Comfort Technologies Manufacturing Recalls Daikin FIT, Amana Brand S-series, and Goodman SD Heat Pumps Due to Risk of Excessive Heat Exposure"
57,Baseus Magnetic Wireless Charging Power Banks Recalled Due to Fire Hazard; Imported by Shenzhen Baseus Technology,Baseus,6/27/2024,,"PPCXM06, PPCXW06","This recall involves Baseus power banks with model numbers PPCXM06 and PPCXW06. Both PPCXM06 and PPCXW06 were offered in white, black, light blue, and light pink colors. Both models have a magnetic side that attaches to mobile phones with magnetic charging functionality. The model number is displayed on the magnetic side of the device, and ""20W"" is displayed on the non-magnetic side. Model PPCXM06 measures about 4 in. x 2-Ã‚Â½ in. x 0.64 in., and model PPCXW06 measures about 4 in. x 2-Ã‚Â½ in. x Ã‚Â½ in. Only power banks with model numbers PPCXM06 and PPCXW06 are part of this recall. Some power banks were listed on Amazon under the model number PPXCW06.",24287,,https://www.cpsc.gov/Recalls/2024/Baseus-Magnetic-Wireless-Charging-Power-Banks-Recalled-Due-to-Fire-Hazard-Imported-by-Shenzhen-Baseus-Technology,Baseus, ,,Baseus Magnetic Wireless Charging Power Banks Recalled Due to Fire Hazard; Imported by Shenzhen Baseus Technology
59,"MGA Entertainment Recalls Miniverse Make It Mini Sets with Unused Liquid Resins Due to Risk of Skin, Eye and Respiratory Irritation and Sensitization; Violation of the Federal Hazardous Substances Act",MGA,6/25/2024,,,"This recall involves Miniverse Make It Mini Sets with unused liquid resins. These sets include ""Make It Mini Appliances,"" all models and series of ""Make It Mini Food,"" and ""Make It Mini Lifestyle."" Most sets consist of a sphere which contains the materials required to assemble the intended miniature imitation ""appliance,"" ""food,"" or ""lifestyle"" items. The resin packaging in each set may imitate food items such as a peanut butter jar, maple syrup, milk container, etc. and the resins when hardened imitate food. The sphere consists of a disposable wrapper bearing ""MGA's Miniverse"" on a yellow burst background and ""Make It Appliances,"" or ""Make It Mini Food,"" in bright pink or ""Make It Mini Lifestyle"" in salmon pink. The wrapper contains information related to the manufacturer's identity and country-specific information in different languages. The sets packaged in spheres could also be sold as bundles with multiple units. The ""Kitchen"", ""Multipack"", ""All You Can Eat"", ""Ice Cream Social"", and ""Pizza Party"" sets come in dedicated boxes with similar labeling without spheres. The item number and the UPC code are printed on the back side of the wrapper. ITEM # PRODUCT DESCRIPTION UPC BAR CODE 426028 MGA's Mini Verse PIZZA PARTY 035051426028 589938 MGA's Miniverse Food/Diner PDQ 035051589938 426011 MGA's Miniverse Make It ICE CREAM 035051426011 587200 MGA's Miniverse-Food Series Cafe PDQ 035051587200 120339 MGA's Miniverse-Make It All You Can Eat 035051120339 504153 MGA's Miniverse-Make It Mini Halloween 3pk 035051504153 593768 MGA's Miniverse-Make It Mini Hllwn PDQ 035051591768 504221 MGA's Miniverse-Make It Mini Holiday 3pk 035051504221 593782 MGA's Miniverse-Make It Mini Holiday PDQ 035051593782 591832 MGA's Miniverse-Make It Mini Kitchen 035051591832 591849 MGA's Miniverse-Make It Mini: Multi Pack 035051591849 594918 MGA's Miniverse-Make/Mini Fds Cfe 2pk 2A 035051594918 505600 MGA's Miniverse-Mini Appliances PDQ 035051505600 516507 MGA's Miniverse-Mini Birdfeeders 035051516507 505631 MGA's Miniverse-Mini Breakfast Shop 035051505631 593904 MGA's Miniverse-Mini Diner Sp/Easter 3pk 035051593904 505471 MGA's Miniverse-Mini Diner Sp/Easter PDQ 035051505471 593720 MGA's Miniverse-Mini Diner Vl Day 3pk 035051593720 505457 MGA's Miniverse-Mini Diner Vl Day PDQ 035051505457 505662 MGA's Miniverse-Mini Dinner Pack 035051505662 505419 MGA's Miniverse-Mini Food Diner S3A PDQ 035051505419 591818 MGA's Miniverse-Mini Foods CafÃƒÂ© S2A PDQ 035051591818 505396 MGA's Miniverse-Mini Foods Cafe S3A PDQ 035051505396 591825 MGA's Miniverse-Mini Foods Diner S2A PDQ 035051591825 591856 MGA's Miniverse-Mini Home S1A PDQ 035051591856 505648 MGA's Miniverse-Mini Ice Cream Shop 053505505648 505372 MGA's Miniverse-Mini Lf Home S1A PDQ 035051505372 505686 MGA's Miniverse-Mini Movie Theater S Pk 035051505686 505693 MGA's Miniverse-Mini Pastry Shop 035051505693 505655 MGA's Miniverse-Mini Sweets Shop 035051505655 505372 MGA's Miniverse-Mini Lf Home S1B PDQ 035051923749 505372 MGA's Miniverse-Mini Lf Home S1A PDQ 035051923459 505396 MGA's Miniverse-Mini Food Cafe S3B PDQ 035051923510 505396 MGA's Miniverse-Mini Foods Cafe S3A PDQ 035051923428 505419 MGA's Miniverse-Mini Food Dnr S3B PDQ 035051923527 505419 MGA's Miniverse-Mini Food Diner S3A PDQ 035051923435 505600 MGA's Miniverse-Mini Appliances PDQ 035051923442 591832 MGA's Miniverse-Make It Mini Kitchen 035051923503",24281,,https://www.cpsc.gov/Recalls/2024/MGA-Entertainment-Recalls-Miniverse-Make-It-Mini-Sets-with-Unused-Liquid-Resins-Due-to-Risk-of-Skin-Eye-and-Respiratory-Irritation-and-Sensitization-Violation-of-the-Federal-Hazardous-Substances-Act,MGA Entertainment, ,,"MGA Entertainment Recalls Miniverse Make It Mini Sets with Unused Liquid Resins Due to Risk of Skin, Eye and Respiratory Irritation and Sensitization; Violation of the Federal Hazardous Substances Act"
60,StyleCraft Recalls Instinct Cordless Hair Clippers Due to Fire and Burn Hazards,StyleCraft,6/20/2024,,SC607M,"This recall involves StyleCraft Instinct Cordless Clippers with model number SC607M. The model number and lot number are printed on the back of the recalled clippers. Only the following lot numbers are included in this recall: 35-22, 40-22, 15-23, 20-23, 25-23, 30-23, 35-23, and 40-23. The products were sold in blue, red, and black. The letters ""SC"" and the name ""INSTINCT"" are printed on the front cover.",24269,,https://www.cpsc.gov/Recalls/2024/StyleCraft-Recalls-Instinct-Cordless-Hair-Clippers-Due-to-Fire-and-Burn-Hazards, , ,,StyleCraft Recalls Instinct Cordless Hair Clippers Due to Fire and Burn Hazards
